symbol,cik,accession,okres,data_zlozenia,akceptacja_et,klasa,sesja_reakcji,znacznik_json,json_zgodny
TSLA,1318605,0001564590-23-000799,2023-01-20,2023-01-25,2023-01-25 16:41:18,AMC,2023-01-26,2023-01-25T21:41:18.000Z,tak
META,1326801,0001326801-23-000008,2023-02-01,2023-02-01,2023-02-01 16:22:15,AMC,2023-02-02,2023-02-01T21:22:15.000Z,tak
GOOGL,1652044,0001652044-23-000013,2023-02-02,2023-02-02,2023-02-02 16:01:29,AMC,2023-02-03,2023-02-02T21:01:29.000Z,tak
AMZN,1018724,0001018724-23-000002,2023-02-02,2023-02-02,2023-02-02 16:08:48,AMC,2023-02-03,2023-02-02T21:08:48.000Z,tak
AAPL,320193,0000320193-23-000005,2023-02-02,2023-02-02,2023-02-02 16:30:33,AMC,2023-02-03,2023-02-02T21:30:33.000Z,tak
NVDA,1045810,0001045810-23-000014,2023-02-22,2023-02-22,2023-02-22 16:52:26,AMC,2023-02-23,2023-02-22T21:52:26.000Z,tak
AVGO,1730168,0001730168-23-000004,2023-03-02,2023-03-02,2023-03-02 16:16:43,AMC,2023-03-03,2023-03-02T21:16:43.000Z,tak
TSLA,1318605,0001564590-23-005126,2023-04-02,2023-04-03,2023-04-03 07:02:44,BMO,2023-04-03,2023-04-03T11:02:44.000Z,tak
TSLA,1318605,0001564590-23-005959,2023-04-19,2023-04-19,2023-04-19 17:25:10,AMC,2023-04-20,2023-04-19T21:25:10.000Z,tak
GOOGL,1652044,0001652044-23-000034,2023-04-20,2023-04-20,2023-04-20 16:24:04,AMC,2023-04-21,2023-04-20T20:24:04.000Z,tak
GOOGL,1652044,0001652044-23-000041,2023-04-25,2023-04-25,2023-04-25 16:01:48,AMC,2023-04-26,2023-04-25T20:01:48.000Z,tak
MSFT,789019,0001193125-23-115280,2023-04-25,2023-04-25,2023-04-25 16:03:03,AMC,2023-04-26,2023-04-25T16:03:03.000Z,NIE
META,1326801,0001326801-23-000063,2023-04-26,2023-04-26,2023-04-26 16:18:04,AMC,2023-04-27,2023-04-26T20:18:04.000Z,tak
